270101 N- ----NSF- Ἀποκάλυψις Ἀποκάλυψις ἀποκάλυψις ἀποκάλυψις
270101 N- ----GSM- Ἰησοῦ Ἰησοῦ Ἰησοῦ Ἰησοῦς
270101 N- ----GSM- Χριστοῦ, Χριστοῦ Χριστοῦ Χριστός
270101 RR ----ASF- ἣν ἣν ἥν ὅς
270101 V- 3AAI-S-- ἔδωκεν ἔδωκεν ἔδωκε(ν) δίδωμι
270101 RP ----DSM- αὐτῷ αὐτῷ αὐτῷ αὐτός
270101 RA ----NSM- ὁ ὁ ὁ ὁ
270101 N- ----NSM- θεὸς θεὸς θεός θεός
270101 V- -AAN---- δεῖξαι δεῖξαι δεῖξαι δείκνυμι
270101 RA ----DPM- τοῖς τοῖς τοῖς ὁ
270101 N- ----DPM- δούλοις δούλοις δούλοις δοῦλος
270101 RP ----GSM- αὐτοῦ, αὐτοῦ αὐτοῦ αὐτός
270101 RR ----APN- ἃ ἃ ἅ ὅς
270101 V- 3PAI-S-- δεῖ δεῖ δεῖ δέω
270101 V- -AMN---- γενέσθαι γενέσθαι γενέσθαι γίνομαι
270101 P- -------- ἐν ἐν ἐν ἐν
270101 N- ----DSN- τάχει, τάχει τάχει τάχος
270101 C- -------- καὶ καὶ καί καί
270101 V- 3AAI-S-- ἐσήμανεν ἐσήμανεν ἐσήμανε(ν) σημαίνω
270101 V- -AAPNSM- ἀποστείλας ἀποστείλας ἀποστείλας ἀποστέλλω
270101 P- -------- διὰ διὰ διά διά
270101 RA ----GSM- τοῦ τοῦ τοῦ ὁ
270101 N- ----GSM- ἀγγέλου ἀγγέλου ἀγγέλου ἄγγελος
270101 RP ----GSM- αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
270101 RA ----DSM- τῷ τῷ τῷ ὁ
270101 N- ----DSM- δούλῳ δούλῳ δούλῳ δοῦλος
270101 RP ----GSM- αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
270101 N- ----DSM- Ἰωάννῃ, Ἰωάννῃ Ἰωάννῃ Ἰωάννης
270102 RR ----NSM- ὃς ὃς ὅς ὅς
270102 V- 3AAI-S-- ἐμαρτύρησεν ἐμαρτύρησεν ἐμαρτύρησε(ν) μαρτυρέω
270102 RA ----ASM- τὸν τὸν τόν ὁ
270102 N- ----ASM- λόγον λόγον λόγον λόγος
270102 RA ----GSM- τοῦ τοῦ τοῦ ὁ
270102 N- ----GSM- θεοῦ θεοῦ θεοῦ θεός
270102 C- -------- καὶ καὶ καί καί
270102 RA ----ASF- τὴν τὴν τήν ὁ
270102 N- ----ASF- μαρτυρίαν μαρτυρίαν μαρτυρίαν μαρτυρία
270102 N- ----GSM- Ἰησοῦ Ἰησοῦ Ἰησοῦ Ἰησοῦς
270102 N- ----GSM- Χριστοῦ, Χριστοῦ Χριστοῦ Χριστός
270102 RR ----APN- ὅσα ὅσα ὅσα ὅσος
270102 V- 3AAI-S-- εἶδεν. εἶδεν εἶδε(ν) ὁράω
270103 A- ----NSM- μακάριος μακάριος μακάριος μακάριος
270103 RA ----NSM- ὁ ὁ ὁ ὁ
270103 V- -PAPNSM- ἀναγινώσκων ἀναγινώσκων ἀναγινώσκων ἀναγινώσκω
270103 C- -------- καὶ καὶ καί καί
270103 RA ----NPM- οἱ οἱ οἱ ὁ
270103 V- -PAPNPM- ἀκούοντες ἀκούοντες ἀκούοντες ἀκούω
270103 RA ----APM- τοὺς τοὺς τούς ὁ
270103 N- ----APM- λόγους λόγους λόγους λόγος
270103 RA ----GSF- τῆς τῆς τῆς ὁ
270103 N- ----GSF- προφητείας προφητείας προφητείας προφητεία
270103 C- -------- καὶ καὶ καί καί
270103 V- -PAPNPM- τηροῦντες τηροῦντες τηροῦντες τηρέω
270103 RA ----APN- τὰ τὰ τά ὁ
270103 P- -------- ἐν ἐν ἐν ἐν
270103 RP ----DSF- αὐτῇ αὐτῇ αὐτῇ αὐτός
270103 V- -XPPAPN- γεγραμμένα, γεγραμμένα γεγραμμένα γράφω
270103 RA ----NSM- ὁ ὁ ὁ ὁ
270103 C- -------- γὰρ γὰρ γάρ γάρ
270103 N- ----NSM- καιρὸς καιρὸς καιρός καιρός
270103 D- -------- ἐγγύς. ἐγγύς ἐγγύς ἐγγύς
270104 N- ----NSM- Ἰωάννης Ἰωάννης Ἰωάννης Ἰωάννης
270104 RA ----DPF- ταῖς ταῖς ταῖς ὁ
270104 A- ----DPF- ἑπτὰ ἑπτὰ ἑπτά ἑπτά
270104 N- ----DPF- ἐκκλησίαις ἐκκλησίαις ἐκκλησίαις ἐκκλησία
270104 RA ----DPF- ταῖς ταῖς ταῖς ὁ
270104 P- -------- ἐν ἐν ἐν ἐν
270104 RA ----DSF- τῇ τῇ τῇ ὁ
270104 N- ----DSF- Ἀσίᾳ· Ἀσίᾳ Ἀσίᾳ Ἀσία
270104 N- ----NSF- χάρις χάρις χάρις χάρις
270104 RP ----DP-- ὑμῖν ὑμῖν ὑμῖν σύ
270104 C- -------- καὶ καὶ καί καί
270104 N- ----NSF- εἰρήνη εἰρήνη εἰρήνη εἰρήνη
270104 P- -------- ⸀ἀπὸ ἀπὸ ἀπό ἀπό
270104 RA ----NSM- ὁ ὁ ὁ ὁ
270104 V- -PAPNSM- ὢν ὢν ὤν εἰμί
270104 C- -------- καὶ καὶ καί καί
270104 RA ----NSM- ὁ ὁ ὁ ὁ
270104 V- 3IAI-S-- ἦν ἦν ἦν εἰμί
270104 C- -------- καὶ καὶ καί καί
270104 RA ----NSM- ὁ ὁ ὁ ὁ
270104 V- -PMPNSM- ἐρχόμενος, ἐρχόμενος ἐρχόμενος ἔρχομαι
270104 C- -------- καὶ καὶ καί καί
270104 P- -------- ἀπὸ ἀπὸ ἀπό ἀπό
270104 RA ----GPN- τῶν τῶν τῶν ὁ
270104 A- ----GPN- ἑπτὰ ἑπτὰ ἑπτά ἑπτά
270104 N- ----GPN- πνευμάτων πνευμάτων πνευμάτων πνεῦμα
270104 RR ----NPN- ἃ ἃ ἅ ὅς
270104 P- -------- ἐνώπιον ἐνώπιον ἐνώπιον ἐνώπιον
