120101 N- ----NSM- Παῦλος Παῦλος Παῦλος Παῦλος
120101 N- ----NSM- ἀπόστολος ἀπόστολος ἀπόστολος ἀπόστολος
120101 N- ----GSM- ⸂Χριστοῦ Χριστοῦ Χριστοῦ Χριστός
120101 N- ----GSM- Ἰησοῦ⸃ Ἰησοῦ Ἰησοῦ Ἰησοῦς
120101 P- -------- διὰ διὰ διά διά
120101 N- ----GSN- θελήματος θελήματος θελήματος θέλημα
120101 N- ----GSM- θεοῦ θεοῦ θεοῦ θεός
120101 C- -------- καὶ καὶ καί καί
120101 N- ----NSM- Τιμόθεος Τιμόθεος Τιμόθεος Τιμόθεος
120101 RA ----NSM- ὁ ὁ ὁ ὁ
120101 N- ----NSM- ἀδελφὸς ἀδελφὸς ἀδελφός ἀδελφός
120102 RA ----DPM- τοῖς τοῖς τοῖς ὁ
120102 P- -------- ἐν ἐν ἐν ἐν
120102 N- ----DPF- ⸀Κολοσσαῖς Κολοσσαῖς Κολοσσαῖς Κολοσσαί
120102 A- ----DPM- ἁγίοις ἁγίοις ἁγίοις ἅγιος
120102 C- -------- καὶ καὶ καί καί
120102 A- ----DPM- πιστοῖς πιστοῖς πιστοῖς πιστός
120102 N- ----DPM- ἀδελφοῖς ἀδελφοῖς ἀδελφοῖς ἀδελφός
120102 P- -------- ἐν ἐν ἐν ἐν
120102 N- ----DSM- Χριστῷ· Χριστῷ Χριστῷ Χριστός
120102 N- ----NSF- χάρις χάρις χάρις χάρις
120102 RP ----DP-- ὑμῖν ὑμῖν ὑμῖν σύ
120102 C- -------- καὶ καὶ καί καί
120102 N- ----NSF- εἰρήνη εἰρήνη εἰρήνη εἰρήνη
120102 P- -------- ἀπὸ ἀπὸ ἀπό ἀπό
120102 N- ----GSM- θεοῦ θεοῦ θεοῦ θεός
120102 N- ----GSM- πατρὸς πατρὸς πατρός πατήρ
120102 RP ----GP-- ⸀ἡμῶν. ἡμῶν ἡμῶν ἐγώ
120103 V- 1PAI-P-- Εὐχαριστοῦμεν Εὐχαριστοῦμεν εὐχαριστοῦμεν εὐχαριστέω
120103 RA ----DSM- τῷ τῷ τῷ ὁ
120103 N- ----DSM- ⸀θεῷ θεῷ θεῷ θεός
120103 N- ----DSM- πατρὶ πατρὶ πατρί πατήρ
120103 RA ----GSM- τοῦ τοῦ τοῦ ὁ
120103 N- ----GSM- κυρίου κυρίου κυρίου κύριος
120103 RP ----GP-- ἡμῶν ἡμῶν ἡμῶν ἐγώ
120103 N- ----GSM- Ἰησοῦ Ἰησοῦ Ἰησοῦ Ἰησοῦς
120103 N- ----GSM- Χριστοῦ Χριστοῦ Χριστοῦ Χριστός
120103 D- -------- πάντοτε πάντοτε πάντοτε πάντοτε
120103 P- -------- ⸀περὶ περὶ περί περί
120103 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
120103 V- -PMPNPM- προσευχόμενοι, προσευχόμενοι προσευχόμενοι προσεύχομαι
120104 V- -AAPNPM- ἀκούσαντες ἀκούσαντες ἀκούσαντες ἀκούω
120104 RA ----ASF- τὴν τὴν τήν ὁ
120104 N- ----ASF- πίστιν πίστιν πίστιν πίστις
120104 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
120104 P- -------- ἐν ἐν ἐν ἐν
120104 N- ----DSM- Χριστῷ Χριστῷ Χριστῷ Χριστός
120104 N- ----DSM- Ἰησοῦ Ἰησοῦ Ἰησοῦ Ἰησοῦς
120104 C- -------- καὶ καὶ καί καί
120104 RA ----ASF- τὴν τὴν τήν ὁ
120104 N- ----ASF- ἀγάπην ἀγάπην ἀγάπην ἀγάπη
120104 RR ----ASF- ⸂ἣν ἣν ἥν ὅς
120104 V- 2PAI-P-- ἔχετε⸃ ἔχετε ἔχετε ἔχω
120104 P- -------- εἰς εἰς εἰς εἰς
120104 A- ----APM- πάντας πάντας πάντας πᾶς
120104 RA ----APM- τοὺς τοὺς τούς ὁ
120104 A- ----APM- ἁγίους ἁγίους ἁγίους ἅγιος
120105 P- -------- διὰ διὰ διά διά
120105 RA ----ASF- τὴν τὴν τήν ὁ
120105 N- ----ASF- ἐλπίδα ἐλπίδα ἐλπίδα ἐλπίς
120105 RA ----ASF- τὴν τὴν τήν ὁ
